ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR,,,,
00:00.3,0.28,11.993884,0.86923,0.032,0.05,0.003,1.588,35.609375,6.8312772e-05,0.000819885,10.425444,,,,
00:00.3,0.3,11.993103,0.868985,0.031,0.044,0.003,1.588,35.609375,7.3140467e-05,0.000877784,10.421827,,,,
00:00.3,0.32,11.992498,0.889562,0.033,0.046,0.004,1.589,35.609375,7.8082478e-05,0.000937051,10.668071,,,,
00:00.3,0.34,11.992302,0.810038,0.032,0.048,0.003,1.589,35.609375,8.2582689e-05,0.000991019,9.7142203,,,,
00:00.4,0.36,11.991033,0.934962,0.035,0.048,0.005,1.589,35.609375,8.7776922e-05,0.001053304,11.21116,,,,
00:00.4,0.38,11.98908,1.016904,0.033,0.046,0.003,1.589,35.609375,9.3426389e-05,0.001121035,12.191743,,,,
00:00.4,0.4,11.987752,1.006455,0.033,0.047,0.004,1.589,35.609375,9.9017806e-05,0.001188064,12.065133,,,,
00:00.4,0.42,11.987459,0.874337,0.038,0.055,0.003,1.588,35.609375,0.000103875,0.001246292,10.481079,,,,
00:00.4,0.44,12.054705,0.497787,0.033,0.048,0.002,1.588,35.609375,0.000106641,0.001279629,6.0006754,,,,
00:00.5,0.46,12.05281,0.486416,0.033,0.045,0.002,1.587,35.609375,0.000109343,0.0013122,5.8626796,,,,
00:00.5,0.48,12.050213,0.486336,0.031,0.045,0.002,1.588,35.609375,0.000112045,0.001344758,5.8604524,,,,
00:00.5,0.5,12.0474,0.498829,0.032,0.049,0.003,1.587,35.609375,0.000114816,0.001378144,6.0095925,,,,
00:00.5,0.52,12.044841,0.484851,0.033,0.049,0.002,1.588,35.609375,0.00011751,0.001410589,5.8399532,,,,
00:00.5,0.54,12.042478,0.484996,0.033,0.047,0.002,1.589,35.609375,0.000120204,0.001443036,5.8405537,,,,
00:00.6,0.56,12.01697,0.635997,0.033,0.046,0.004,1.588,35.609375,0.000123738,0.001485496,7.6427569,,,,
00:00.6,0.58,11.923455,0.995715,0.033,0.05,0.004,1.589,35.609375,0.000129269,0.001551453,11.872363,,,,
00:00.6,0.6,11.925974,1.013017,0.034,0.051,0.004,1.589,35.609375,0.000134897,0.001618571,12.081214,,,,
00:00.6,0.62,11.929158,1.025752,0.031,0.045,0.003,1.588,35.609375,0.000140596,0.001686551,12.236358,,,,
00:00.6,0.64,11.932205,1.03858,0.033,0.046,0.003,1.589,35.609375,0.000146366,0.001755399,12.392549,,,,
00:00.7,0.66,11.967537,0.933034,0.032,0.05,0.003,1.586,35.609375,0.000151549,0.001817433,11.166119,,,,
00:00.7,0.68,11.999978,0.927019,0.033,0.05,0.003,1.589,35.609375,0.000156699,0.001879234,11.124208,,,,
00:00.7,0.7,11.998806,0.92654,0.036,0.048,0.003,1.59,35.609375,0.000161847,0.001940997,11.117374,,,,
00:00.7,0.72,11.997439,0.926029,0.031,0.047,0.004,1.586,35.609375,0.000166991,0.002002719,11.109976,,,,
00:00.7,0.74,11.996013,0.944771,0.032,0.049,0.004,1.588,35.609375,0.00017224,0.002065683,11.333485,,,,
00:00.8,0.76,11.994744,0.929984,0.033,0.047,0.004,1.589,35.609375,0.000177407,0.002127655,11.15492,,,,
00:00.8,0.78,11.995798,0.611255,0.033,0.044,0.002,1.587,35.617188,0.000180803,0.002168391,7.3324915,,,,
00:00.8,0.8,11.999197,0.440799,0.033,0.046,0.002,1.585,35.617188,0.000183251,0.002197775,5.289234,,,,
00:00.8,0.82,12.000466,0.615436,0.033,0.048,0.003,1.59,35.617188,0.00018667,0.002238806,7.3855188,,,,
00:00.8,0.84,11.998806,0.804352,0.033,0.051,0.003,1.588,35.617188,0.000191139,0.002292424,9.6512636,,,,
00:00.9,0.86,11.997771,0.797045,0.033,0.047,0.003,1.589,35.617188,0.000195567,0.00234555,9.5627634,,,,
00:00.9,0.88,11.996365,0.904925,0.033,0.045,0.004,1.588,35.617188,0.000200594,0.002405861,10.855811,,,,
00:00.9,0.9,11.994627,0.947705,0.032,0.048,0.004,1.589,35.617188,0.00020586,0.002469013,11.367368,,,,
